SongID,AlbumID,Name,Duration,Dancablity,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Popularity,Explicit
89,86,(Wish I Could Fly Like) Superman,214733,0.772,0.669,-11.239,0.0444,0.0373,2.05E-05,0.0854,0.96,42,FALSE
90,1,(You Drive Me) Crazy,198066,0.748,0.939,-4.288,0.0341,0.0534,0,0.32,0.96,61,FALSE
91,87,(You Keep Me) Hangin' On,164826,0.59,0.374,-13.498,0.0248,0.389,0,0.0757,0.639,11,FALSE
92,88,(You Make Me Feel) So Good,161560,0.798,0.647,-10.997,0.0459,0.0366,0.051,0.168,0.854,8,FALSE
93,23,(You Were Made For) All My Love,125866,0.321,0.468,-4.934,0.0317,0.898,8.29E-06,0.113,0.411,15,FALSE
94,89,(You're Gonna) Hurt Yourself,152293,0.669,0.581,-6.929,0.0616,0.511,0,0.222,0.659,22,FALSE
95,90,(You've Got) Personality And Chantilly Lace,223133,0.529,0.88,-8.782,0.0823,0.0883,0.000394,0.342,0.784,0,FALSE
96,23,(Your Love Keeps Lifting Me) Higher And Higher,181066,0.631,0.69,-6.676,0.0531,0.176,0,0.121,0.938,70,FALSE
97,91,***Flawless,234413,0.639,0.659,-7.273,0.215,0.241,8.33E-06,0.484,0.457,68,TRUE
98,92,#1 Dee Jay,206106,0.859,0.376,-16.542,0.0439,0.0536,0.0963,0.0605,0.902,0,FALSE
99,93,$ave Dat Money,290835,0.858,0.697,-5.361,0.23,0.114,0,0.224,0.364,71,TRUE
100,94,1 Thing,238760,0.612,0.961,-3.078,0.333,0.107,4.17E-05,0.0413,0.867,59,FALSE
101,95,1| 2 Many,180906,0.54,0.821,-3.789,0.0875,0.0397,0,0.423,0.685,73,FALSE
102,96,1| 2 Step,203786,0.944,0.511,-10.96,0.161,0.042,0.00107,0.0379,0.842,75,FALSE
103,97,1| 2| 3| 4 (Sumpin' New),214306,0.91,0.681,-9.639,0.153,0.288,0.00477,0.372,0.7,49,FALSE
104,98,1+1,273880,0.303,0.384,-7.342,0.0339,0.381,5.14E-06,0.0661,0.261,60,FALSE
105,99,10 Little Bottles,245506,0.451,0.467,-8.304,0.212,0.898,0,0.971,0.582,16,FALSE
106,100,100 Grandkids,278506,0.735,0.749,-3.766,0.0874,0.371,0,0.47,0.373,65,TRUE
107,101,100 Years,244600,0.643,0.569,-7.459,0.0276,0.544,2.17E-05,0.178,0.275,66,FALSE
108,102,100 Years,151510,0.383,0.478,-10.247,0.0287,0.54,1.81E-05,0.123,0.341,13,FALSE
109,103,100,334360,0.801,0.521,-9.871,0.28,0.0136,0,0.179,0.412,62,TRUE
110,104,16 Candles,172460,0.591,0.472,-4.906,0.0261,0.733,0,0.0987,0.627,37,FALSE
111,105,18 And Life,229960,0.466,0.648,-11.101,0.028,0.0023,1.49E-05,0.112,0.305,70,FALSE
112,106,18,248360,0.681,0.582,-7.76,0.0313,0.22,0,0.119,0.221,74,FALSE
113,107,19 You + Me,217406,0.493,0.67,-5.131,0.0298,0.319,0,0.102,0.451,63,FALSE
114,108,1901,193106,0.591,0.831,-5.647,0.0415,0.0605,4.67E-05,0.19,0.705,66,FALSE
115,109,1941,172693,0.522,0.626,-7.337,0.0304,0.334,0,0.194,0.744,0,FALSE
116,110,1942 Flows,282666,0.63,0.628,-4.016,0.327,0.0515,0,0.091,0.266,61,TRUE
117,111,1942,213080,0.817,0.646,-5.12,0.249,0.0152,0,0.125,0.835,72,TRUE
118,112,1973,280026,0.72,0.668,-7.928,0.0269,0.0652,0.00664,0.0789,0.768,69,FALSE
119,113,1984,217133,0.537,0.595,-8.749,0.0442,0.134,0.00294,0.0764,0.698,13,FALSE
120,114,1985,193000,0.606,0.887,-4.404,0.0598,0.000242,0,0.337,0.903,70,FALSE
121,115,1994,242680,0.598,0.777,-6.676,0.0396,0.183,0,0.111,0.821,53,FALSE
122,116,1999,379266,0.866,0.73,-8.201,0.0767,0.137,0,0.0843,0.625,68,FALSE
123,117,19,210853,0.753,0.897,-8.54,0.073,0.00281,0.73,0.351,0.937,47,FALSE
124,118,1st Of Tha Month,314680,0.729,0.581,-8.235,0.18,0.0777,3.81E-06,0.696,0.508,65,TRUE
125,119,1st Time,267626,0.686,0.603,-6.112,0.202,0.0981,0,0.102,0.778,41,TRUE
126,120,2 On,227000,0.742,0.595,-7.51,0.107,0.15,0,0.111,0.431,69,TRUE
127,121,2 Phones,240000,0.895,0.681,-5.267,0.358,0.157,0,0.189,0.554,71,TRUE
128,122,2 Reasons,197626,0.734,0.746,-5.088,0.0762,0.00135,0,0.178,0.539,53,TRUE
129,123,2 Step,322933,0.721,0.72,-6.145,0.192,0.0564,0,0.173,0.643,53,TRUE
130,124,20/20,230448,0.886,0.336,-12.779,0.239,0.557,0,0.0933,0.536,69,TRUE
131,125,21 Guns,321093,0.268,0.742,-4.939,0.0355,0.0518,0,0.626,0.416,76,FALSE
132,126,21,163797,0.783,0.479,-10.646,0.541,0.149,0,0.101,0.533,83,TRUE
133,127,21st Century Girl,183144,0.832,0.823,-6.097,0.0385,0.02,0.84,0.148,0.438,0,FALSE
134,128,223's,176640,0.932,0.547,-7.787,0.333,0.0388,0,0.0924,0.695,87,TRUE
135,129,24 Hours,215986,0.833,0.638,-9.119,0.0441,0.0392,4.83E-06,0.173,0.399,48,TRUE
136,130,24's,282906,0.739,0.725,-4.301,0.203,0.227,0,0.0991,0.582,56,TRUE
137,131,24K Magic,225983,0.818,0.803,-4.282,0.0797,0.034,0,0.153,0.632,79,FALSE
138,132,25 Or 6 To 4,289800,0.604,0.905,-7.059,0.0578,0.309,0.0632,0.0837,0.723,65,FALSE
139,133,26 Cents,231400,0.641,0.462,-7.99,0.0265,0.65,0,0.159,0.317,35,FALSE
140,134,3 A.M. Eternal,347218,0.616,0.894,-12.781,0.0555,0.000764,0.155,0.924,0.756,27,FALSE
141,135,3 Headed Snake,241995,0.914,0.415,-10.708,0.464,0.0536,0,0.131,0.646,68,TRUE
142,136,3 Little Words,256306,0.709,0.469,-7.083,0.0278,0.504,0,0.045,0.256,35,FALSE
143,137,31 Days,240682,0.875,0.644,-6.554,0.222,0.267,0,0.125,0.788,56,TRUE
144,138,31 Flavors,118333,0.662,0.671,-3.045,0.0294,0.304,0,0.341,0.92,9,FALSE
145,139,32 Flavors,227306,0.659,0.702,-9.255,0.0308,0.11,0.000136,0.365,0.402,35,FALSE
146,126,33,170057,0.732,0.462,-10.191,0.406,0.126,0,0.12,0.117,70,TRUE
147,140,360 Degrees (What Goes Around),240866,0.959,0.75,-7.732,0.171,0.0277,0,0.0713,0.766,17,FALSE
148,141,3,213173,0.697,0.709,-1.917,0.0455,0.0452,0,0.138,0.787,65,FALSE
149,142,3rd Man Theme,153973,0.553,0.677,-10.831,0.0712,0.423,0.962,0.185,0.768,25,FALSE
150,143,4 Da Gang,187748,0.705,0.474,-7.534,0.355,0.0751,0,0.229,0.179,55,TRUE
151,144,4 Ever,222946,0.683,0.657,-10.668,0.099,0.0279,4.49E-05,0.367,0.764,9,FALSE
152,42,4 Minutes,189400,0.675,0.942,-3.096,0.0518,0.0052,0.000167,0.0764,0.414,44,FALSE
153,145,4 Minutes,189693,0.753,0.931,-4.922,0.0652,0.00994,0.00696,0.234,0.767,70,FALSE
154,146,442 Glenwood Avenue,134640,0.674,0.584,-12.91,0.0367,0.723,0,0.0719,0.961,6,FALSE
155,147,444+222,247347,0.791,0.513,-6.568,0.269,0.0235,2.83E-05,0.101,0.481,65,TRUE
156,148,5 D (Fifth Dimension),154640,0.212,0.518,-11.186,0.042,0.667,0,0.341,0.52,4,FALSE
157,149,5 Miles To Empty,225933,0.671,0.733,-10.884,0.0283,5.01E-05,0.858,0.0745,0.803,20,FALSE
158,150,5 O'Clock,302640,0.731,0.758,-8.322,0.116,0.112,1.64E-06,0.0987,0.8,31,FALSE
159,151,5 O'Clock,281533,0.4,0.882,-1.958,0.334,0.168,0,0.124,0.385,61,TRUE
160,152,5 Star,247440,0.715,0.809,-5.598,0.205,0.0607,0,0.352,0.636,40,TRUE
161,153,5% Tint,196138,0.712,0.481,-5.415,0.0487,0.173,0,0.241,0.062,73,TRUE
162,154,50 Ways To Leave Your Lover,217346,0.815,0.372,-12.814,0.0752,0.166,0.000116,0.0767,0.293,70,FALSE
163,155,50 Ways To Say Goodbye,247946,0.591,0.935,-2.664,0.0478,0.000284,0.000278,0.142,0.736,66,FALSE
164,156,500 Miles Away From Home,162560,0.501,0.429,-10.803,0.0293,0.669,0,0.539,0.551,48,FALSE
165,48,500 Miles,262060,0.534,0.732,-7.29,0.0404,0.548,4.91E-05,0.0845,0.67,51,FALSE
166,157,57 Channels (And Nothin' On),145466,0.894,0.316,-18.975,0.0978,0.608,0.0153,0.111,0.64,35,FALSE
167,158,6 Inch,260440,0.516,0.637,-8.832,0.0632,0.0433,3.89E-06,0.11,0.324,68,TRUE
168,159,6 Underground,228840,0.587,0.687,-8.635,0.0509,0.0281,0.14,0.121,0.402,50,FALSE
169,160,679,196693,0.618,0.717,-5.738,0.318,0.00256,0,0.625,0.603,76,TRUE
170,161,7 And 7 Is,139160,0.453,0.788,-9.23,0.0341,0.00438,0.000121,0.131,0.55,41,FALSE
171,162,7 Days,235133,0.659,0.812,-7.499,0.0487,0.23,0,0.0951,0.888,71,FALSE
172,163,7 Seconds,305773,0.68,0.702,-9.621,0.0267,0.0838,1.79E-06,0.326,0.509,60,FALSE
173,164,7 Years,237300,0.765,0.473,-5.829,0.0514,0.287,0,0.391,0.34,81,FALSE
174,165,7,178266,0.738,0.79,-8.308,0.036,0.0165,0.00282,0.296,0.573,53,FALSE
175,166,808,306693,0.867,0.42,-9.478,0.167,0.00328,3.18E-06,0.0887,0.367,42,FALSE
176,167,80s Mercedes,211767,0.485,0.834,-5.413,0.0715,0.0665,0,0.28,0.659,63,FALSE
177,168,8th Of November,298240,0.259,0.729,-2.665,0.0418,0.117,0,0.438,0.284,49,FALSE
178,169,8th Wonder,446506,0.871,0.937,-8.536,0.195,0.298,0,0.634,0.675,32,FALSE
179,170,8th World Wonder,240733,0.537,0.758,-4.065,0.0249,0.0103,0,0.131,0.295,32,FALSE
180,171,9 To 5,162466,0.554,0.783,-5.852,0.0457,0.416,1.54E-06,0.631,0.813,77,FALSE
181,172,911,259333,0.747,0.646,-9.185,0.191,0.273,3.70E-06,0.0931,0.73,47,FALSE
182,173,93 'til Infinity,286440,0.59,0.672,-11.792,0.412,0.125,1.04E-06,0.147,0.688,69,FALSE
183,174,96 Tears,143280,0.696,0.851,-5.385,0.0506,0.0236,0.0309,0.055,0.889,37,FALSE
184,175,96 Tears,185573,0.647,0.645,-11.395,0.0307,0.000527,0.00201,0.0914,0.902,32,FALSE
185,176,99 Luftballons,232466,0.575,0.555,-7.495,0.0453,0.103,1.30E-06,0.111,0.504,74,FALSE
186,177,992 Arguments,366373,0.627,0.804,-11.43,0.0446,0.0107,5.10E-05,0.164,0.798,24,FALSE
187,178,99,316053,0.482,0.471,-13.873,0.0334,0.181,0.00167,0.112,0.342,49,FALSE
188,179,A Bay Bay,257120,0.577,0.668,-4.884,0.514,0.105,0,0.0924,0.702,54,FALSE
189,180,A Beautiful Morning,151800,0.503,0.484,-12.833,0.0311,0.399,0,0.345,0.8,49,FALSE
190,181,A Beautiful Story,172800,0.474,0.328,-10.766,0.0338,0.737,0,0.128,0.602,9,FALSE
