ArtistID,ArtistName
1684,"Jimmy ""Bo"" Horne"
2289,Clarence Reid
276,Tavares
3727,Zara Larsson 
1748,George Baker Selection
2693,Disciples
117,Meek Mill
4750,The Cuff Links
2214,Mary Travers
4817,Lou Reed
1212,Lil Rob
132,Tinashe 
350,Tommy James
118,YBN Nahmir
3196,Lou Gramm
816,New Boyz 
2227,The Cleftones
1067,Ty Dolla $ign
122,Spirit
430,Eric Carmen
278,Dakota Moon
2248,Peter Cetera 
1695,The Mojo Men
237,Max B
683,Sammy Davis Jr.
123,Bowling For Soup
2164,Xscape
2103,Carlos Santana 
124,Jason Aldean
2626,Toni Braxton 
125,Prince
1701,Gino Soccio
127,Bone Thugs-N-Harmony
742,Tracy Chapman
1219,Ol' Dirty Bastard
1100,Usher 
128,Trey Songz
711,Bread
4089,Timex Social Club
1195,Mase 
129,Marques Houston 
130,Yung Joc 
557,Jason Michael Carroll
413,Cowboy Copas
4794,Crystal Bowersox
2377,The Bar-Kays
134,T.I.
2461,Ol' Dirty Bastard 
1617,Seal
1516,Amber
135,Trey Songz 
439,Monica
312,Archie Bell 
4447,Tommy McLain
342,Sarah McLachlan
136,Unk
307,Alicia Keys
137,Lil Tjay
885,The Georgia Satellites
157,Fabolous
724,Nappy Roots
2587,Jerry Keller
3494,Shawn Mullins
1478,Rodney Atkins
3724,Limahl
139,Polo G
1713,Mick Jagger
1247,Mobb Deep 
2363,Crazy Elephant
759,Mother's Finest
1311,Peabo Bryson
4834,Dae Dae
468,Gretchen Wilson
2527,4
140,Willow
2724,Pozo Seco Singers
1156,Friends
143,2 Chainz
4527,Dido
3344,EMF
321,Miranda Cosgrove
144,TeeFLii 
3328,Shabba Ranks
145,Bruno Mars
3949,The Royaltones
1129,Chong
1012,Teddy Randazzo
506,Mott The Hoople
1274,Quad City DJ's
1204,Nas 
3192,Bertie Higgins
300,Procol Harum
2879,Axe
146,The Wilkinsons
4626,Darrow Fletcher
147,The KLF
148,Young Thug
2356,T-Boz
484,Devin Dawson
